Rank,Titulo,Vendas,Lancamento,Desenvolvedora
1,Minecraft,"238.000.000
",18 de novembro de 2011,Mojang
2,Grand Theft Auto V,"175.000.000
","17 de setembro de 2013
",Rockstar North
3,Tetris,"170.000.000
","6 de junho de 1984
",
4,Wii Sports,"82.900.000
","19 de novembro de 2006
",Nintendo EAD
5,PlayerUnknown's Battlegrounds,"75.000.000
",20 de dezembro de 2017,PUBG Studios
6,Mario Kart 8 / Deluxe,"60.460.000
","29 de maio de 2014
",Nintendo EAD
7,Super Mario Bros.,"58.000.000
","13 de setembro de 1985
",Nintendo
8,Overwatch,"50.000.000
","24 de maio de 2016
",Blizzard Entertainment
9,,"Multi-plataforma
","
",Rockstar Games
10,Pokémon Red / Green / Blue,"47.520.000
","27 de fevereiro de 1996
",Game Freak
11,Terraria,"44.500.000
","16 de maio de 2011
",
12,Wii Fit,"43.800.000
","1 de dezembro de 2007
",Nintendo EAD
13,Pac-Man,"42.071.635
","Julho de 1980
",Namco
14,Animal Crossing: New Horizons,"41.590.000
","20 de março de 2020
",Nintendo EPD
15,The Witcher 3: Wild Hunt,"40.000.000
","19 de maio de 2015
",CD Projekt Red
16,Mario Kart Wii,"37.380.000
","10 de abril de 2008
",Nintendo EAD
17,Wii Sports Resort,"33.140.000
","25 de junho de 2008
",Nintendo EAD
18,New Super Mario Bros.,"30.800.000
","15 de maio de 2006
",Nintendo EAD
19,The Legend of Zelda: Breath of the Wild,"30.700.000
","3 de março de 2017
",Nintendo EPD
20,Super Smash Bros. Ultimate,"30.440.000
","7 de dezembro de 2018
",Bandai Namco Studios
21,New Super Mario Bros. Wii,"30.320.000
","11 de novembro de 2009
",Nintendo EAD
22,Call of Duty: Modern Warfare,"30.000.000
","25 de outubro de 2019
",Infinity Ward
23,,"Multi-plataforma
","
",Blizzard Entertainment
24,,"Multi-plataforma
","No Brakes Games
",Curve Digital
25,,"Multi-plataforma
","
",Bethesda Softworks
26,Pokémon Gold / Silver,"29.490.000
","21 de novembro de 1999
",Game Freak
27,Monster Hunter: World,"28.600.000
","26 de janeiro de 2018
",Capcom
28,Duck Hunt,"28.300.000
","21 de abril de 1984
",Nintendo R&D1
29,Wii Play,"28.020.000
","2 de dezembro de 2006
",Nintendo EAD
30,The Walking Dead,"28.000.000
","24 de abril de 2012
",Telltale Games
31,Grand Theft Auto: San Andreas,"27.500.000
","26 de outubro de 2004
",Rockstar North
32,Borderlands 2,"27.000.000
","18 de setembro de 2012
",Gearbox Software
33,Super Mario World,"26.662.500
","21 de novembro de 1990
",Nintendo EAD
34,Call of Duty: Modern Warfare 3,"26.500.000
","8 de novembro de 2011
",Infinity Ward
35,Call of Duty: Black Ops,"26.200.000
","9 de novembro de 2010
",Treyarch
36,Pokémon Sword / Shield,"25.680.000
","15 de novembro de 2019
",Game Freak
37,Pokémon Sun / Moon,"25.370.000
","18 de novembro de 2016
",Game Freak
38,Super Mario Odyssey,"25.120.000
","27 de outubro de 2018
",Nintendo EPD
39,Grand Theft Auto IV,"25.000.000
","29 de abril de 2008
",Rockstar North
40,Pokémon Diamond / Pearl,"24.730.000
","28 de setembro de 2006
",Game Freak
41,Super Mario Bros. 3,"24.430.000
","23 de outubro de 1988
",Nintendo
42,Call of Duty: Black Ops II,"24.200.000
","12 de novembro de 2012
",Treyarch
43,FIFA 18,"24.000.000
","29 de setembro de 2017
",EA Canada
44,,"
","
",Xbox Game Studios
45,Sonic the Hedgehog,"23.982.960
","23 de junho de 1991
",Sonic Team
46,Nintendogs,"23.960.000
","21 de abril de 2005
",Nintendo EAD
47,Mario Kart DS,"23.600.000
","14 de novembro de 2005
",Nintendo EAD
48,God of War,"23.000.000
","20 de abril de 2018
",Santa Monica Studio
49,," / Xbox 360
","
",Rockstar Games
50,Call of Duty: Modern Warfare 2,"22.700.000
","10 de novembro de 2009
",Infinity Ward
